Description,Offense,Punishment,Section,Predicted Punishment,gpt_neo_answer,Predicted Punishment Gemini,Cosine Eval - Llama,Cosine Eval - Gpt,Cosine Eval - Gemini,Jaccard Eval - Llama,Jaccard Eval - Gpt,Jaccard Eval - Gemini,Euclidean Eval - Llama,Euclidean Eval - Gpt,Euclidean Eval - Gemini,Manhattan Eval - Llama,Manhattan Eval - Gpt,Manhattan Eval - Gemini,Minkowski Eval - Llama,Minkowski Eval - Gpt,Minkowski Eval - Gemini,Hamming Eval - Llama,Hamming Eval - Gpt,Hamming Eval - Gemini,
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,"Punishment under this law includes imprisonment from one month to two years and/or fine upto Rs.5000/-
The offense committed hereunder is punishable with imprisonment for a period ranging between six months to four years alongwith fine upto ten thousand Rupees",Wearing the dress or carrying,"Imprisonment for up to three months, a fine up to 500 rupees, or both.",0.264628062,0.338061702,0.458349249,0,0.111111111,0.0625,6.92820323,2.828427125,3.741657387,23043,1264,4480,631.5605279,216.0260028,351.6356315,225,28,58,
"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,IPC_127,"If anyone takes your money without permission from you, he/she will get imprisoned for at least one year if found guilty under this law.

Explanation:
This is an offense against public order that occurs when people take something belonging to another person through force or threat of violence. This includes taking things like cars, houses, jewelry etc., but not just cash. It's important because it shows how much respect we should give our fellow citizens who are trying hard enough to make ends meet while others live off their labor alone!

Section 128 - Punishment for receiving stolen goods

The maximum penalty provided here is life imprisonment along with confiscating all properties involved as well!","IPC 127 in Short Sentence
Provide only the punishment details in a short, complete sentence. Answer:

IPC 127 in Long Sentence
Provide only the punishment details in a long, complete sentence. Answer:

IPC 127 in Short Sentence
Provide only the punishment details in a short, complete sentence. Answer:

IPC 127 in Long Sent","Imprisonment up to seven years, fine, and forfeiture of the property.",0.039073233,0,0.674199862,0.008547009,0,0.125,11.5758369,14.52583905,2.449489743,63820,26677,4159,887.1742478,648.1673435,339.4537856,610,288,63,
"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,IPC_128,"If a public servant, responsible for the custody of a state prisoner or prisoner of war, intentionally allowed the prisoner to escape from confinement, he/she will face imprisonment for life (Section 129) or imprisonment not exceeding five years (Sections 130-132). In addition, if convicted under this provision, an offender must pay compensation to the victim's family as per law.

Explanation:
The word ""public"" means that it applies to all persons who are members of society at large; therefore, anyone involved in prison administration should take care while handling prisoners so that no one gets hurt during their transfer between prisons.
In case you have more questions regarding IPC Sections like these then feel free to ask us by commenting below!","Yes

IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.
Offense: Public servant voluntarily allowing prisoner of State or war in his custody to","Life imprisonment or imprisonment up to 10 years, and a fine.",0.227921153,0.281962951,0.763762616,0.018018018,0.038461538,0.2,12.92284798,10.29563014,2.236067977,68179,33246,2807,904.190508,713.058536,276.3077546,650,320,56,
"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,IPC_129,"If a public servant, responsible for the custody of a state prisoner or prisonorofwar, caresleely allowstheprisonertoescapefromconfinementtheycanbepunishedwithupotthreemonthsinjailandmayalsobefined.

Explanation:
The word ""careless"" means that he did not take proper precautions against escaping prisoners while keeping them under lock & key.
In this case, it was negligence on part of the officer who had been entrusted by law with responsibility of guarding these people.","Yes

IPC 129 in Short Sentence
Provide only the punishment details in a short, complete sentence. Answer: Yes

IPC 129 in Long Sentence
Provide only the punishment details in a long, complete sentence. Answer: Yes

IPC 129 in Long Sentence
Provide only the punishment details in a long, complete sentence. Answer: Yes","Simple imprisonment for up to three years, and a fine.",0,0,0.666666667,0,0,0.066666667,8.602325267,13.89244399,2.236067977,43274,27457,2253,781.7128216,656.3897605,268.627008,422,284,29,
"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,IPC_130,"If anyone knows that he is helping another person to commit an offence under this Act (i.e., aiding & abetting), then it will amount as an offense against him too.

Explanation:
The word ""knowingly"" means intentionally; without being deceived by mistake about facts known to others;
the words “rescued” mean rescued alive;

“prisoner”, includes every one convicted on indictment or otherwise charged with crime punishable with death or imprisonment for life, whether before conviction or during trial,
and includes all persons sentenced to transportation beyond seas, unless released earlier than so sentenced;


“State Prisoner”: Every convict imprisoned within India except those prisoners whose sentences have been commuted into hard labour outside India

Section 131 - Punishment for conspiracy to commit offences specified in sections 120B, 121A, 122, 123, 124, 125, 126, 127, 129-A, 132, 133, 134, 135, 136, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148,","Yes

IPC 130 in Short Sentence
Provide only the punishment details in a short, complete sentence. Answer: Yes

IPC 130 in Long","Imprisonment for life, or imprisonment of either description for up to ten years, and a fine.",0.193995898,0,0.693687976,0.013888889,0,0.15,13.37908816,6.633249581,3.16227766,130927,9594,5581,14938.89182,451.7979329,381.5190694,843,117,63,
"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,IPC_131,Punishment is Life Imprisonment,"IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor or airman in the Indian Army","Punishment for IPC Section 131:  Life imprisonment or imprisonment up to ten years, and a fine.",0.377964473,0.072739297,0.641688948,0.2,0.035714286,0.15,2.645751311,5.656854249,3.16227766,1703,9788,6543,224.0787948,461.4077448,399.1553657,38,113,85,
"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,IPC_132,"If anyone commits mutiny against his superior officers (officers), he will have to face severe punishments like jail terms, fines etc.

Explanation:
The word ""abate"" means to stop; hence it implies stopping something from happening. The person who stops this thing from occurring has done what is called 'Abatement'. In other words, one who prevents another's crime is said to act on behalf of him/her. This action is known as ABETMENT OF CRIME i.e., when any individual acts on behalf of others so as to prevent them from doing wrong, such actions are termed ASABEMENTS

In case of Mutiny, there was no direct involvement of soldiers but they were indirectly involved because their superiors encouraged them to commit mutiny. So, we need not consider all those people who did nothing more than encourage the soldiers to do anything illegal. We should focus our attention solely upon those individuals whose conduct directly led to the occurrence of mutiny.

Therefore, according to law, whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the army navy or air force of government of india, shall, if mutiny be committed in consequence of that ab","Yes

IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor or airman in the Indian Army, Navy, or Air Force, and mutiny","Punishment for abetment of mutiny under IPC Section 132: Death, life imprisonment, or imprisonment up to 10 years, with a possible fine.",0.056416423,0.195646395,0.628694613,0.006024096,0.029411765,0.107142857,21.44761059,6.403124237,3.741657387,105454,12808,9170,1043.142358,503.2809543,444.1126077,999,145,121,
"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,IPC_133,Punishment - Imprisonment For A Term Which May Extend To Three Years And Fine,"The accused is an officer, soldier, sailor or airman, who abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, by encouraging the assault.",Imprisonment for up to three years and/or a fine.,0.40824829,0,0.471404521,0.125,0,0,3.16227766,10.24695077,2.645751311,6215,23364,3620,391.7921313,627.2688371,329.7575691,66,220,42,
"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed",7 Years + Fine,IPC_134,"If anyone helps another person commit crime against others (abuse), then he/she will face severe punishments like death penalty.

Explanation:
Abetting means encouraging somebody else to do something wrong; it's not just about helping them get away with what they've done already but rather actively supporting those who are committing crimes.","IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in","Imprisonment of either description for up to seven years, and a fine.",0,0.089087081,0.426401433,0,0,0,7.416198487,7.937253933,3,31464,23485,5535,702.7019585,634.1749734,384.6312385,299,219,59,
"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,IPC_135,"Punishment is given by law and it should not exceed more than one year's rigorous imprisonment along with monetary compensation.

Explanation:
The offense under this provision includes encouraging others to join the enemy forces during war time as well as aiding them after their surrender. The person who aids such persons will also face similar punishments if caught doing so.

Example:

A man was arrested on suspicion that he had encouraged his friend to leave the army while fighting against Pakistan at Kargil. He admitted having done so but claimed that he did not know about the actual plan being hatched between him and his friend. However, when questioned further, he confessed that he knew all too much about what was going on behind closed doors because he himself used to work closely with some officers involved in planning the operation.","IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.
Offense: Abetment of the desertion of an officer, soldier, sailor or airman
Provide","Imprisonment of either description for up to two years, or a fine, or both.",0,0.491353815,0.683130051,0,0.022727273,0.058823529,15.45962483,9,2.828427125,78284,26349,5379,949.0049815,652.7029653,380.0295568,726,259,64,
