Description,Offense,Punishment,Section,Predicted Punishment
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,"The offense described above falls under section 141 (1) and punishable as per this law.

Explanation:
The word ""soldier"" means an officer or other person appointed on active duty; but does not include persons employed solely upon public works projects;
""The Navy includes all ships owned or operated by His Majesty's government."""
"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,IPC_127,"According to section 127 of Indian Penal Code, whoever receives any property knowing that such property has been obtained through an offence specified under Sections 125 and 126 is punishable with imprisonment of either description for a term which may extend to seven years and shall also be liable to fine and forfeiture of the property so received.

Explanation:
Forfeiture means loss or destruction of something due to its being stolen from you; this includes things like money, jewelry, etc., but not just physical items."
"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,IPC_128,"According to section 128 of Indian Penal Code (IPC), whoever commits an offence under this chapter shall be punishable with rigorous imprisonment for a term which may extend to seven years, if he has been convicted before; but not more than five years, if he has never been so convicted; and if no previous conviction exists, then by simple imprisonment for a term which may extend to three months, or by fine which may extend to two thousand rupees, or both.

Explanation:
For the purposes of this Chapter—

(a) “State” means every province, territory, district, municipality, town, village, hamlet, settlement, ward, police station, prison, jail, gaol, penitentiary, asylum, hospital, lunatic asylum, insane institution, mental asylums, reformatory school, industrial training centre, orphanage home, children’s home, juvenile detention home, correctional facility, remand home, probation house, reformatories, homes for aged persons, old age homes, nursing homes, convalescent centres, rest houses, sanatoria, hospitals, dispensaries, clinics, health centers, maternity homes, child welfare institutions, schools, colleges, universities, research institutes, laboratories, museums, zoos, botanical gardens, parks, cemeteries, crematoriums, burial grounds, funerals"
"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,IPC_129,"According to section 129 of Indian Penal Code (IPC), whoever, being a public servant and having the custody of any state prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which he was confine...
Section Number : 129"
"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,IPC_130,"According to section 130 of Indian Penal Code, whoever knowingly aids or assists any state prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punishable with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.

Explanation:
The offence is committed by aiding an escapee (a person who escapes from prison) when he knows that it was done through his own act or omission; but if there are two persons guilty of this offence, one of whom aided another in doing so, then both will be deemed as principals and each of them would have been equally responsible under law

Example:

A man named John knew that some prisoners had escaped from jail on Friday night. He went out at midnight and saw three men running away towards the railway station. On seeing him, all ran off together into the train. The police caught hold of these"
"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,IPC_131,"According to section 131 of Indian Penal Code (IPC), whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the army navy or air force of government of india or attempts to seduce any such officers soldiers sailors or airmen from his allegiance or his duties shall be punishable with imprisonment for life or with imprisonment of either description for a term which may extend to ten years and shall also be liable to fine.

Explanation:
The offence is committed when one person incites another to commit mutiny against the other's superior authority; it does not require that he himself commits the act of mutiny but merely instigates others towards doing so. The crime has been defined as ""abettment"" rather than conspiracy because there must exist some direct participation on part of the accused who actually takes action leading to the eventuality of mutiny."
"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,IPC_132,"If anyone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian army navy or air force, and mutiny occurs as a result, he/she will be punishable under this law.

Explanation:
The word ""abate"" means to reduce; it refers to reducing something from its full extent or intensity. The phrase ""in consequence of"", indicates that there was some cause (such as encouragement) behind the act of mutiny."
"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,IPC_133,"According to section 133 of Indian Penal Code (IPC), whoever abets an offence against public order committed by an army personnel, naval personnels or air force persons, he will have to face punishments like imprisonment upto 3 yrs alongwith fines.

Explanation:
The word ""officer"" means all officers including commissioned officers as well as non-commissioned officers who are serving under the orders of such commissioning officers; but does not include enlisted men whose rank is below that of commissioned officer;
the word'superior' includes both commanding authority and subordinate authorities within the same chain of command;

Section 134 deals with offences punishable under this chapter

Sections 135-138 deal with conspiracy"
"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed",7 Years + Fine,IPC_134,"If anyone encourages another person (officer) who has been appointed by the government to perform certain functions to commit an offence against them; then he/she will have to face severe punishments like life imprisonment along with heavy fines.

Explanation:
The word ""abate"" means to reduce something from its full extent or intensity. So it's used here to mean reducing the severity of the crime.
In this case, we are talking about encouraging others to do wrong things so they don't get caught doing those crimes themselves because there would not be enough evidence against him/her when questioned later regarding what happened during these events leading up until now where everyone knows exactly how much time passed between each event happening at once but no one remembers anything else other than just seeing people getting arrested after committing all sorts of illegal acts including murder etc..."
"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,IPC_135,The offense is punishable by imprisonment upto Two Years and/or Fine/Both
