Description,Offense,Actual Punishment,Section,Unnamed: 4,Predicted Punishment
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140,,"Punishment should include the type and duration (if applicable) as well as other relevant information like fines imposed etc.

Explanation:
Section 141 - Offences relating to wearing uniforms or badges on certain occasions; false representation about rank"
"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,IPC_127,,"If anyone takes your money while committing an offense such as theft or robbery under Sections 379/380/392/394/406/411/409/420/431 etc., then he/she will get imprisoned for at least one year but not more than five years along with fines and confiscating his/her properties.

Explanation:
• The offence is committed if you receive anything from those who are guilty of taking away something else through violence or fraud without their consent.
• For example, when police officers take some goods belonging to people on false grounds, this crime comes into play here because these things were stolen by them using force or deceitful means.
• In addition, there could be other cases where individuals commit crimes against others' possessions like stealing cars, houses, jewelry, gold coins, bank notes, cash deposits, shares & bonds, documents, books, computers, mobile phones, laptops, tablets, cameras, watches, electronic gadgets, precious stones, diamonds, pearls, emeralds, rubies, sapphires, corals, jadeite, lapis lazuli, ambergris, ivory, tortoise shell, whalebone, ostrich feathers, fur coats, leather shoes, boots, gloves, belts, handbags, wallets, purses, scarves, ties, socks, hats, caps, sunglasses, glasses, eyeglasses, spectacles, contact lenses,"
"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,Imprisonment for Life or 10 Years + Fine,IPC_128,,"A person who commits this offense will face imprisonment for life (Section 129) or imprisonment not exceeding five years (Sections 130-132). The maximum penalty under these sections are as follows:
• If you commit an offence against Sections 131 & 133, then your punishment could range between three months' imprisonment and two years'
• For committing offences that fall within Section 134 - 137, you would receive a prison sentence ranging from six months to seven years.'
The Punishment Under This Act Is Not Less Than Seven Years And Also Cannot Be Lesser In Any Particular Case.'"
"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,Simple Imprisonment 3 Years + Fine,IPC_129,,"A person who commits an offense under this section will have their liberty restricted by law.

Section 130 Offence Against Prisoners (Indian Penal Code)
The following are offences against prisoners:
(1) Any one who abets another to commit offence punishable under sections 124-A, 125-B, 126A or 127B.
Explanation.—For the purposes of this sub-section,—

(a) ""abet"" means to advise; and


(b) ""officer-in-charge"" includes—
(i) The officer on duty at the time when the act was committed,
(ii) An assistant officer not below the rank of constable, if he has been specially appointed as an escorting officer for that purpose,

and every other person acting in accordance with instructions issued by him;
(2) Anyone who aids, abets, counsels, procures or induces any person to do anything done by him contrary to the provisions of sections 124-A, 125-B, 126A or 127 B.

Explain what does it mean?
This explains how someone else could help you get out of prison without your consent even though you were imprisoned because of them. This applies to anyone who helps others break laws related to prisons. It doesn't matter whether they did so intentionally or unintentionally - both types of people would still face criminal charges.

What happens after conviction? Explain briefly!
After"
"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner",Imprisonment for Life or 10 Years + Fine,IPC_130,,"If anyone knows that he is aiding an escapee then it becomes his duty to inform the police immediately as soon as possible so that law enforcement officials could take necessary steps against him.

Explanation:
Section 131 states that whoever commits offence under sections 129 & 132 will get same punishment like those offences committed by other persons but if offender tries to commit another crime during this period than he gets additional penalty according to severity of previous crimes."
"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty",Imprisonment for Life or 10 Years + Fine,IPC_131,,Punishment is given as Life Imprisonment/Imprisonment For A Term Which May Extend To Ten Years And Fine
"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof",Death or Imprisonment for Life or 10 Years + Fine,IPC_132,,"If anyone incites others to commit mutiny against their superior officers, they will face severe punishments under this provision.

Explanation:
The word 'abate' means ""to stop"" or ""prevent."" The act of encouraging another person's misconduct (such as insubordination) is known as ""abetting.""
In order to avoid ambiguity, we must distinguish between two different meanings of the phrase “in consequence.” In other words, it doesn't matter whether one acts on behalf of another individual who has already been convicted; rather than punishing them directly, he punishes those individuals indirectly through his actions.
This law applies not just to military personnel but also civilian employees working at government institutions such as airports, ports, railways, etc., whose duties include guarding national security secrets from being disclosed publicly."
"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office",3 Years + Fine,IPC_133,,Punishment - Imprisonment for upto Three Years & Fine
"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed",7 Years + Fine,IPC_134,,"If anyone provides assistance to another person who commits an offence against public order (such as rioting) they will face a maximum penalty of two years' imprisonment plus a minimum fine of Rs.10,000/-."
"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Abetment of the desertion of an officer, soldier, sailor or airman",2 Years or Fine or Both,IPC_135,,Punishment is given by law as per IPC Chapter-129
