Description,Offense,Actual Punishment,Section,Unnamed: 4,Unnamed: 5,Predicted Punishment
"Description of IPC Section 140
According to section 140 of Indian penal code, Whoever, not being a soldier, sailor or airman in the Military, Naval or Air service of the Government of India, wears any garb or carries any token resembling any garb or token used by such a soldier, sailor or airman with the intention that it may be believed that he is such a soldier, sailor or airman, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 140 in Simple Words
If someone who is not a military member wears a uniform or carries something resembling a military uniform to deceive others into believing they are a soldier, sailor, or airman, they can be punished with up to three months in jail, a fine of up to five hundred rupees, or both.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman","The person will get one year rigorous and six month simple punishment if found guilty under this act.

Explanation:
The word ""soldier"" refers to those persons whose duty is primarily to defend their country from external aggression as well as internal threats like civil wars. A sailor means an individual belonging to navy; while an air force officer has been given specific authority over all matters pertaining to aviation forces within his jurisdiction (i.e., army).",IPC_140,,,"If someone who is not a military member wears a uniform or carries anything resembling a military uniform to trick people into thinking that they’re a serviceman, they could get fined between Rs 500 and Rs 5,000 (or equivalent) or imprisoned for up to one year.

Explanation:
Section 144A provides that whoever makes an attempt on behalf of another person to commit an offence punishable under this Act commits an offence also if his act has been intended to facilitate commission thereof."
"Description of IPC Section 127
According to section 127 of Indian penal code, Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.


IPC 127 in Simple Words
If someone receives property knowing it was taken during the commission of certain offenses (mentioned in sections 125 and 126), they can be punished with imprisonment of up to seven years, fined, and the property can be forfeited.",Receiving property taken by war or depredation mentioned in sections 125 And 126,"The person who takes away another’s goods is guilty under this offense if he knows that those things are being stolen from him through force, fraud or threat.

Explanation:
The word “knowing” means having actual knowledge; not just suspicion but real belief about something.
In other words, you must know beyond reasonable doubt whether your actions were done out of necessity due to fear or because you believed them necessary at some level.
This law applies when people steal items while committing crimes such as thefts, burglaries etc., even though these acts might involve taking money or valuables without permission.

Section 132 – Punishment For Criminal Conspiracy",IPC_127,,,Whoever recieves any Property knowinbg that is has been takeen In Comission Of Any Offence Mentioned In Secion 125 Or 126 Shall Be Punished With Imprisonment For A Term Which May Extends To Seven Years & Shal Also Bly Layd Unto Fine
"Description of IPC Section 128
According to section 128 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 128 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, intentionally allows the prisoner to escape from confinement, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.",Public servant voluntarily allowing prisoner of State or war in his custody to escape,"A person who commits this offense will have their liberty restricted by law until he pays compensation as per the terms mentioned above.

Explanation:
The word ""public"" means that it should apply to every citizen of India; so if you are talking about an officer working at some government office then your answer would not include him since he works there on behalf of the state but still has no right over citizens' lives.
This offence applies when someone is allowed to leave prison without permission because they were caught committing another crime while inside (e.g., shoplifting).
It does NOT cover situations where prisoners get out through natural causes like death etc.; nor does it refer specifically towards those held under arrest awaiting trial before court proceedings begin!
In other words - If one escapes during transport between jails & prisons OR after serving time served within jail premises itself THEN THEY WILL BE LIABLE FOR THE SAME PUNISHMENT AS SHOWN ABOVE!!",IPC_128,,,"If a public servant (1) knowingly permits an escaped convict to re-enter India after escaping; or (2) knowingly aids another person who has been convicted by court-martial under this Act to commit an offence punishable under subsection (3); then he/she will face jail time as well as pay hefty fines.
Whoever commits offense under sub-section (4), if sentenced on conviction to death, shall suffer death;
In addition to that, whoever commits other offenses specified in clause(5), shall be punished accordingly:
(a)(i) With rigorous imprisonment for three months,
(ii) For every subsequent commission of like offences, with rigorous imprisonment for one month each.

Explanation : - The expression ""like"" includes similar cases but not identical ones

What are the Offences?
The following types of crimes fall within the scope of IPC Chapter-127 :
• Escape of Prisoner
• Aiding others to Commit Crimes against Society"
"Description of IPC Section 129
According to section 129 of Indian penal code, Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner to escape from any place of confinement in which such prisoner is confined, shall be punished with simple imprisonment for a term which may extend to three years, and shall also be liable to fine.


IPC 129 in Simple Words
If a public servant, responsible for the custody of a State prisoner or prisoner of war, carelessly allows the prisoner to escape from confinement, they can be punished with up to three years in jail and may also be fined.",Public servant negligently suffering prisoner of State or war in his custody to escape,"The offense described above provides that whoever commits this act will face prison time ranging between one year (up to two) and five years (five). If found guilty under these provisions, you could receive either an immediate conviction or probation depending on your circumstances.

Explanation:
The word ""public"" means anyone who has authority over someone else's property or actions as part of their job role. This includes government officials like police officers, judges, lawyers, etc., but it does not include private citizens unless those people are acting outside of work hours when carrying out personal duties.
In order to understand what constitutes negligence here we must first look at how courts define them before applying our knowledge about criminal law offenses against individuals working within society

1st degree murder- Murder committed by a person without legal justification; typically involves killing another human being due to anger or hatred towards him/her/itself while committing some other crime such as theft or robbery",IPC_129,,,"A person who commits this offense has been sentenced by courts to pay fines ranging between Rs.5000/-to Rs.1 lakh/-. The court will not impose more than one year's prison time on an individual if he/she committed the crime while acting under duress.

Explanation:
The offence relates specifically to negligence rather than intent; it does not matter whether the accused had maliciously intended that the state prisoners should escape (which would constitute culpable homicide).
A public servant cannot commit this offence merely because their failure was due to circumstances beyond their control - e.g., a fire broke out at a police station where many inmates were kept, causing some to flee. However, even then there must have been no wilful act done by them as well as other factors contributing towards the accident like inadequate security measures etc."
"Description of IPC Section 130
According to section 130 of Indian penal code, Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 130 in Simple Words
If someone knowingly helps a State prisoner or prisoner of war escape from lawful custody, rescues them, hides them after their escape, or resists their recapture, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Aiding escape of, rescuing or harbouring, such prisoner, or offering Any resistance to the recapture of such prisoner","The offence is punishable by death (Section 134), Imprisonment for Life (Sections 129 & 133)",IPC_130,,,"The offense is punishable by death (life), imprisonment of not less than seven nor more than fifteen years, and/or fine.

Explanation:
The word ""knowingly"" means that one knows what he/she does while doing something else; it implies an intent on his/her part to do so. In other words, if there was no intention then how would knowing help? So here we have two options-
1) If you are trying to aid another person in committing crime against law - i.e., aiding him/her to commit theft etc.; this offence will come under section 120B(2). This offence carries lesser penalty as compared to sections like 121A/122(A).
2) If you know about some event but don't take action due to lack of knowledge- e.g., you see somebody stealing your property without taking necessary precautions; in case of such offences where negligence plays role, the maximum punishment comes out to be imprisonment upto five years alongwith fine.

Example:

You witness robbery at night time when all people were asleep. You didn’t inform police immediately because you thought that nobody could catch them during dark hours.
In such cases, even though you knew"
"Description of IPC Section 131
According to section 131 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 131 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force or tries to lead them astray from their loyalty or duty, they can be punished with life imprisonment or imprisonment of up to ten years, and may also be fined.","Abetting mutiny, or attempting to seduce an officer, soldier sailor or airman from his allegiance or duty","The offense is punishable under sections 134/135 (abettment) & 153 A (attempting to commit offence)
Explain that if you are not sure about the meaning of some terms then look at other similar offenses mentioned below:
Abet - To encourage; assist in doing something illegal;
Attempt - An act done without intending it as intended but nevertheless having its natural tendency towards accomplishing what one intends.
Seduction - Leading another person away from your own beliefs or values.

Explanation on Offence Code:

The word ‘Mutiney’ means rebellion against lawful authority. It was first defined by Lord Ellenborough in R v Haldane’s Case [1843] Eng LR 1 HL 11-13. In this case he said “It will appear upon examination of all cases that there must always exist within the army two classes of persons who have no business being together — namely, those whose duties require them constantly to keep apart, and others who do so because they wish to remain united.” This definition has been adopted by courts throughout the world including our country.
In order words Mutiny does mean disobedience to superior orders given through",IPC_131,,,"If anyone commits the crime of aiding or encouraging mutineers (officers) then he will have to serve at least one year's rigorous imprisonment and pay a penalty of Rs.10 thousand.

## Question

What is meant by ""mutinous""?

Explanation:

The word Mutinies means 'to rebel against' or 'a rebellion'. A person who rebels against authority is known as a Muttie. In this context it refers to those soldiers who revolted against British rule during the First War of Independence."
"Description of IPC Section 132
According to section 132 of Indian penal code, Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall, if mutiny be committed in consequence of that abetment, be punished with death or with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 132 in Simple Words
If someone encourages the commission of mutiny by an officer, soldier, sailor, or airman in the Indian Army, Navy, or Air Force, and mutiny occurs as a result, the abettor can be punished with death, life imprisonment, or imprisonment for up to ten years, and may also be fined.","Abetment of mutiny, if mutiny is committed in consequence thereof","If anyone abets any person who commits mutiny against his superior authority, he will have been guilty under this provision.

Explanation:
The word ""officer"" means all persons holding office in the military forces of the State (including members of the armed services). The same definition applies when used without reference to rank; it includes every commissioned officer whether on active duty or not.
A ""soldier"", however, has no such general meaning but refers specifically to those employed in actual service in the army or navy.
Similarly, ""sailor,"" although defined generally in terms of sea-going vessels, still excludes seamen engaged solely ashore except where they are serving aboard ships at anchor off shore.
An ""air-man"" does not include pilots or navigators whose duties do not require them actually to fly aircraft.
In other words, these provisions apply equally to officers, soldiers, sailors and even aviators.
However, there must always be some connection between the offense being charged and one of these four categories before the act could amount to an offence under this chapter.
For example, you cannot commit murder while acting alone because nobody else was present during your crime.

Whoever abets the comming of Mutinny by an",IPC_132,,,"If anyone encourages the commission of mutiny by an officer, soldier, sailor, or airman (an ""abettor""), he/she will face severe punishments such as death, prison time ranging from five to twenty-five years, fines, etc., depending on whether it was done intentionally or unintentionally.

Section Number: 132

Sub-Sections:

1) Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india,shall,if mutinybecommittedinconsequenceofthatabetmentation,punishablewithdeath.orimprisonforlife,andshallalsobelyaileftfine"
"Description of IPC Section 133
According to section 133 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 133 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, the abettor can be punished with up to three years in jail and a fine.","Abetment of an assault by An officer, soldier, sailor Or airman on his superior officer, when in the execution of his office","Punishment Details


Explanation: Explanation:
The offence under this section has been defined as follows:

Whoever abets an assault by an officer,
soldier,sailor or airman,inthe army,navy orair forceofthegovernmentofIndia,onanysuperiorofficerbeingintheexecutionofoffice,mustbepunishedwithimprisonmentforatleastthreeyearsandmaysufferfine.

This means that whoever commits the act mentioned above will face imprisonment from at least one year but not more than three years along with paying fines.



What Is The Penalty?
Answer: Penal",IPC_133,,,"The offender who encouraged another person to commit crime will face prison time from one year to ten years along with fines.

Explanation:
The offense under this provision occurs if you encourage anyone else (such as your friend) to attack a higher-ranking official during that individual’s performance of duty. If they are injured because of such encouragement, then you could potentially go to court facing charges of “abetting” them into committing crimes against authority figures like police officers, judges, military officials, etc., even though it was not directly done at work.

For example:

Suppose two men were discussing how much fun it would be to rob some bank tellers after hours; however, one man suggested going undercover so he wouldn’t get caught doing anything illegal since there wasn't enough evidence yet proving him guilty anyway! This type of behavior falls within what's called ""abetting"" - meaning helping others break laws without actually participating yourself!

To prove guilt beyond reasonable doubt requires prosecutors presenting sufficient proof showing all elements present including intent & motive behind encouraging criminal conduct among those involved regardless whether these individuals acted upon suggestions given out loud verbally OR silently via social media posts online forums where people discuss breaking rules set forth legally governing society today...

This means courts must decide exactly WHAT actions did occur leading up towards creating consequences resulting FROM THESE CONDUCTS THAT COULD"
"Description of IPC Section 134
According to section 134 of Indian penal code, Whoever abets an assault by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, on any superior officer being in the execution of his office, shall, if such assault be committed in consequence of that abetment be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 134 in Simple Words
If someone encourages an officer, soldier, sailor, or airman to assault a superior officer while the superior officer is performing their duties, and the assault occurs as a result, the abettor can be punished with up to seven years in jail and a fine.","Abetment of such assault, if the assault is committed","If anyone helps another person commit an offence against law (abuse), he/she will face criminal charges.

Explanation:
Abetting means assisting others in committing crimes. In this case, it refers to encouraging them not to do anything illegal but instead carry out unlawful actions like assaulting people who are supposed to protect society from criminals.
In simple terms,
Whoever abets an assault by an officer, soldier, sailor or airman, in the army, navy or air force of the government of india, on any superior officer being in the execution of his office,shall,if such assaultbecommittedinconsequenceofthatabetmentbeyoungpunishedwithimprisonmentforaetermwhichmayextendtosevenyearsandshallalsolylieatfine

Section 135 : Punishment For Encouraging Assault On Superior Officers By Others",IPC_134,,,"If someone encourages another person (officer) who has been appointed under Article 370(1)(a), i.e., he/she belongs to J&K state; then it will become punishable offence under this provision.

Explanation:
This article provides punishments when one encourages others to commit offences against other officers belonging to the same category. This means they are encouraged to do something illegal but not necessarily violent like murder, rape etc. The crime must have taken place because of encouragement from them."
"Description of IPC Section 135
According to section 135 of Indian penal code, Whoever, abets the desertion of any officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 135 in Simple Words
If someone encourages or supports the desertion of an officer, soldier, sailor, or airman from the Indian Army, Navy, or Air Force, they can be punished with up to two years in jail, a fine, or both.","Abetment of the desertion of an officer, soldier, sailor or airman","Punishment - Imprisoned For A Term Which May Extend To Two Years Or With Fine Or Both.

Example:
Abetment Of Deserting An Officer Soldier Sailor Or Air Man

Explanation:

In simple words it means that if anyone encourage and support another person's act then he/she is also considered as offender who commits such offense.",IPC_135,,,"Punishment is not given if there are no other punishments specified.

Section Number and Name: IPC - Penal Code

Part I (Preliminary) Part II (General Provisions)

Sub-Chapter III Sub-sections A B C D E F G H I J K L M N O P Q R S T U V W X Y Z"
